prestamo_id,usuario_id,coche_id,fecha_ini,fecha_fin
177,39,27,2020-01-16,2020-07-15
178,30,35,2020-01-27,
179,34,28,2020-01-16,2020-04-07
180,48,47,2020-02-17,
181,43,50,2020-01-24,
182,21,12,2020-01-10,
183,11,22,2020-02-26,2020-07-30
184,14,14,2020-02-28,
185,5,22,2020-02-05,
186,17,17,2020-02-04,
187,19,39,2020-02-28,
188,38,28,2020-01-24,2020-07-10
189,1,40,2020-01-17,2020-07-06
190,16,43,2020-02-01,
191,6,2,2020-02-05,2020-06-27
192,35,8,2020-03-03,2020-05-01
193,43,34,2020-01-22,2020-06-26
194,20,15,2020-02-25,2020-07-25
195,48,47,2020-02-14,
196,2,26,2020-01-16,
197,8,48,2020-01-11,
198,31,9,2020-01-19,
199,50,30,2020-01-03,2020-04-04
200,49,9,2020-01-10,2020-08-11
